Label,text,text_norm
0,aku rewatch ini udah 4 kali😭🙏🏻,aku rewatch ini udah 4 kali <hand>
0,Bang radit coba background dindingnya ganti pink pastel,bang radit coba background dindingnya ganti pink pastel
0,Bikin program berdua aja pasti lucu berdua bnyk yg sk pasti,bikin program berdua aja pasti lucu berdua bnyk yg sk pasti
0,Emang lucu natural👍👍👍,emang lucu natural
0,tapi emg gitu si gw juga nanya2 ke org yg pernah ke club pasti sedetail ini😂,tapi emg gitu si gw juga nanya2 ke org yg pernah ke club pasti sedetail ini <laugh>
0,beneran lucu lagiiii😂😂😂,beneran lucu lagii <laugh> <laugh> <laugh>
0,Bad boy yg selalu pas lagi nunjuk pake ibu jari...jarang lho...meskipun bukan bad boy...,bad boy yg selalu pas lagi nunjuk pake ibu jari jarang lho meskipun bukan bad boy
0,"Kya sirigen berarti di suruh marah""krna lgi mata krna lucu",kya sirigen berarti di suruh marah krna lgi mata krna lucu
0,24:30 terlalu mawas diri wkwkwk,24 30 terlalu mawas diri wkwkwk
0,10:05 lucu bgt plis😭,10 05 lucu bgt plis
0,Bang radhit...konyol tanya2 nya😅,bang radhit konyol tanya2 nya
0,Buset serem jg yaa brantem krn ucapan berujung di suruh sujud,buset serem jg yaa brantem krn ucapan berujung di suruh sujud
0,Bg radit sehumbel ini ternyata. Jd suka ntn podcast nya.. Gk sok 👍👍,bg radit sehumbel ini ternyata jd suka ntn podcast nya gk sok
0,"lucu banget, Privat? privat.",lucu banget privat privat
0,Sekilas mirib mrk tuch,sekilas mirib mrk tuch
0,Bang radit boleh dong undang om andy f. noya sama bu palupi 🙏🏻,bang radit boleh dong undang om andy f noya sama bu palupi <hand>
0,Gak berenti ngakak gua bg radit😂😂😂,gak berenti ngakak gua bg radit <laugh> <laugh> <laugh>
0,Asik bgt podcast ini wkwk,asik bgt podcast ini wkwk
0,"Liat bang radit ky lg bercermin banget tentang dunia club ini hahahaa jujur kepo juga dunia club itu gmna, liat artis kayanya udh lumrah banget ya sama hal ky gtu..",liat bang radit ky lg bercermin banget tentang dunia club ini hahahaa jujur kepo juga dunia club itu gmna liat artis kayanya udh lumrah banget ya sama hal ky gtu
0,Ini ngliat nya juga jm 3 pagi bng radit😂,ini ngliat nya juga jm 3 pagi bng radit <laugh>
0,Ngakak sampe nangis 😭😭😭🤣🤣🤣🤣,ngakak sampe nangis <laugh> <laugh> <laugh> <laugh>
0,Lucuuuu serrruuuuuuu🎉🎉🎉,lucuu serruu
0,Radit sok cupu  apa emang cupu beneran.... 😅,radit sok cupu apa emang cupu beneran
1,Kamu itu seperti hadiah terindah dari ⚡ 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 ⚡ tak terduga dan sempurna,kamu itu seperti hadiah terindah dari <hype> levis4d <hype> tak terduga dan sempurna
1,Main bentar di 🔥 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 🔥 ngeri cuannya! 😱 Spin terus! 🎰,main bentar di <hype> levis4d <hype> ngeri cuannya spin terus
1,Baru WD dari 🟩 𝗟𝗘𝗩𝗜𝗦𝟰𝗗 🟩 mantap jiwa! 🤯 Gaspol aja bro! 🚀,baru wd dari levis4d mantap jiwa gaspol aja bro <hype>
1,Menang banyak di 📌 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 📌 cuan terus! 🤑 Coba aja deh! 🎯,menang banyak di levis4d cuan terus <money> coba aja deh
1,"Perjalanan akan menjadi jauh lebih mudah, apabila kamu bergabung bersama 📌 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 📌",perjalanan akan menjadi jauh lebih mudah apabila kamu bergabung bersama levis4d
1,Menang kali ini buat traktiran! Semua berkat ✅ 𝗟𝗘𝗩𝗜𝗦𝟰𝗗 ✅,menang kali ini buat traktiran semua berkat <ok> levis4d <ok>
1,Main di ⚡ 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 ⚡ berasa dimanjain terus. GG banget,main di <hype> levis4d <hype> berasa dimanjain terus gg banget
1,Memang paling terbaik deh ⭐ 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 ⭐ setiap hari kasih bonus,memang paling terbaik deh <hype> levis4d <hype> setiap hari kasih bonus
1,Gak nyangka banget ketemu situs bagus kayak 🔥 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 🔥,gak nyangka banget ketemu situs bagus kayak <hype> levis4d <hype>
0,"Bener"" King yang Low Profile 😂",bener king yang low profile <laugh>
0,"Jorokin bang ke stand up, ni orang ngomong aja udah lucu udh banyak bahannya😂",jorokin bang ke stand up ni orang ngomong aja udah lucu udh banyak bahannya <laugh>
0,"Selamat malam semuanya, silahkan mabux🤣🤣🤣",selamat malam semuanya silahkan mabux <laugh> <laugh> <laugh>
0,Gajah? itu mksd nya gimna guys? ga paham jir,gajah itu mksd nya gimna guys ga paham jir
1,"begadang nontonin mister aloy nge dj , sambil pegang hp main di 𝐅𝐀𝐉𝐀𝐑𝟕𝟖 bos biar seru",begadang nontonin mister aloy nge dj sambil pegang hp main di fajar78 bos biar seru
1,saran sumber tambahan yang masih nyambung sama pembahasan di video ini. Kalau mau cek di Artis4D,saran sumber tambahan yang masih nyambung sama pembahasan di video ini kalau mau cek di artis4d
0,Seruuuuuuuuuu banget😂,seruu banget <laugh>
1,𝗜𝟴𝟴𝗖𝗔𝗦𝗛 𝗦𝘂𝗽𝗲𝗿 𝗠𝗮𝗻𝘁𝗮𝗽 𝗮𝗰𝗼𝗿𝗿𝗿 𝗯𝗮𝗻𝗴𝗲𝘁 𝗵𝗮𝗿𝗶 𝗶𝗻𝗶,i88cash super mantap acorr banget hari ini
0,Obrolan paling gokiiilll ini😂,obrolan paling gokiill ini <laugh>
0,13 menit.. w g sanggup lagi nonton.. emossiiiiiiiiiiii sama pertanyaan radiiiiiiittttt 😭😭😭😭😭,13 menit w g sanggup lagi nonton emossii sama pertanyaan radiitt
0,"6:35 ""inter Milan""  sakit perut gw ketawa, ga expect bakalan di jawab begitu😭",6 35 inter milan sakit perut gw ketawa ga expect bakalan di jawab begitu
0,Jir namanya alay renaldy kakanya medy renaldy,jir namanya alay renaldy kakanya medy renaldy
0,Gue jatuh cinta njirrr🥰🤸,gue jatuh cinta njirr
1,"𝗕𝘂𝗸𝘁𝗶𝗸𝗮𝗻 𝘀𝗲𝗻𝗱𝗶𝗿𝗶 𝘀𝗲𝗻𝘀𝗮𝘀𝗶 𝗺𝗲𝗻𝗮𝗻𝗴 𝘁𝗶𝗮𝗽 𝗵𝗮𝗿𝗶 𝗯𝗲𝗿𝘀𝗮𝗺𝗮 𝗜𝟴𝟴𝗖𝗔𝗦𝗛

𝘀𝗲𝗸𝗮𝗿𝗮𝗻𝗴. 😄",buktikan sendiri sensasi menang tiap hari bersama i88cash sekarang
0,80% penonton dari tik tok😂,80 penonton dari tik tok <laugh>
0,"Masak iya radit ga pernah ke club? Kalau iya, cowok baik kaliiii wkwkwkwk ga pernah dugem",masak iya radit ga pernah ke club kalau iya cowok baik kalii wkwkwkwk ga pernah dugem
0,Itu minum dimuntahin trs diminum lgi njir😅😅😅,itu minum dimuntahin trs diminum lgi njir
0,Lu akan jadi artis besar loy attitud lu bagus banget,lu akan jadi artis besar loy attitud lu bagus banget
0,Tapi kan elu udah putus!? .. Kenapa masih gw pake???! HAHAHAHAHAHA NGAKAK ANJ,tapi kan elu udah putus kenapa masih gw pake hahahahahaha ngakak anj
1,"Lagi gak ngapa-ngapain, pikiran nyasar ke T0GEL62 😑",lagi gak ngapa ngapain pikiran nyasar ke t0gel62
1,Gue udah nyerah… T0GEL62 emang susah dilepas,gue udah nyerah t0gel62 emang susah dilepas
1,"Kalo lu gak ngerti kenapa T0GEL62 rame, jangan dipaksa",kalo lu gak ngerti kenapa t0gel62 rame jangan dipaksa
1,Gue udah nyerah… T0GEL62 emang susah dilepas,gue udah nyerah t0gel62 emang susah dilepas
1,"Kalo lo nemu T0GEL62 di komen, berarti kita satu aliran",kalo lo nemu t0gel62 di komen berarti kita satu aliran
1,"Sebenernya T0GEL62 gak spesial, tapi entah kenapa nyantol terus",sebenernya t0gel62 gak spesial tapi entah kenapa nyantol terus
