Label,text
0,aku rewatch ini udah 4 kali😭🙏🏻
0,Bang radit coba background dindingnya ganti pink pastel
0,Bikin program berdua aja pasti lucu berdua bnyk yg sk pasti
0,Emang lucu natural👍👍👍
0,tapi emg gitu si gw juga nanya2 ke org yg pernah ke club pasti sedetail ini😂
0,beneran lucu lagiiii😂😂😂
0,Bad boy yg selalu pas lagi nunjuk pake ibu jari...jarang lho...meskipun bukan bad boy...
0,"Kya sirigen berarti di suruh marah""krna lgi mata krna lucu"
0,24:30 terlalu mawas diri wkwkwk
0,10:05 lucu bgt plis😭
0,Bang radhit...konyol tanya2 nya😅
0,Buset serem jg yaa brantem krn ucapan berujung di suruh sujud
0,Bg radit sehumbel ini ternyata. Jd suka ntn podcast nya.. Gk sok 👍👍
0,"lucu banget, Privat? privat."
0,Sekilas mirib mrk tuch
0,Bang radit boleh dong undang om andy f. noya sama bu palupi 🙏🏻
0,Gak berenti ngakak gua bg radit😂😂😂
0,Asik bgt podcast ini wkwk
0,"Liat bang radit ky lg bercermin banget tentang dunia club ini hahahaa jujur kepo juga dunia club itu gmna, liat artis kayanya udh lumrah banget ya sama hal ky gtu.."
0,Ini ngliat nya juga jm 3 pagi bng radit😂
0,Ngakak sampe nangis 😭😭😭🤣🤣🤣🤣
0,Lucuuuu serrruuuuuuu🎉🎉🎉
0,Radit sok cupu  apa emang cupu beneran.... 😅
1,Kamu itu seperti hadiah terindah dari ⚡ 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 ⚡ tak terduga dan sempurna
1,Main bentar di 🔥 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 🔥 ngeri cuannya! 😱 Spin terus! 🎰
1,Baru WD dari 🟩 𝗟𝗘𝗩𝗜𝗦𝟰𝗗 🟩 mantap jiwa! 🤯 Gaspol aja bro! 🚀
1,Menang banyak di 📌 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 📌 cuan terus! 🤑 Coba aja deh! 🎯
1,"Perjalanan akan menjadi jauh lebih mudah, apabila kamu bergabung bersama 📌 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 📌"
1,Menang kali ini buat traktiran! Semua berkat ✅ 𝗟𝗘𝗩𝗜𝗦𝟰𝗗 ✅
1,Main di ⚡ 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 ⚡ berasa dimanjain terus. GG banget
1,Memang paling terbaik deh ⭐ 𝐋𝐄𝐕𝐈𝐒𝟒𝐃 ⭐ setiap hari kasih bonus
