Label,text
1,"Sungguh menginspirasi! 🔥𝑰𝑺𝑻𝑨𝑵𝑨𝑩𝑬𝑻17🔥, konten ini punya nilai tinggi dan disajikan dengan apik. Terus berkarya ya!"
0,Yuka kocak bener dah 🤣🤣
1,"𝘋𝐄𝘞𝐀𝐃O𝐑𝘈 gacir banget, mekswin trs pol"
1,modal 50 ribu jepe lgsng wede
0,Yang Gagal 2x celotehin yang Gagal 1x njir...lucu bang menghibur😂
0,"Ada mm vs gk ada mm , ya jelas menang yg ada mm nya"
1,", 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 terbaik !"
0,"Gw masih heran sama orang"", kok pada suka nontonin orang"" ini live, padahal mereka gk ngapain, cuman duduk doang sambil nungguin saweran, plis guys, dari pada waktu kalian terbuang sia"", mending di pake buat aktivitas yg lebih berguna deh, dari pada nontonin orang live yg gk ada gunanaya itu😂😂"
1,"keren banget bang , salam jepe 𝐒 𝙂ｉ𝟖 𝟖"
0,GG intro nyaa baguss bet 🤘🏻🤘🏻🫵🏻
1,"Asli deh, ⭐𝙬-𝙚-𝙩-𝙤-𝙣-88⭐ sama konten lo sama-sama bikin betah! 🏠"
1,"gue pikir 𝙋𝙐𝙇𝘼𝙪777 cuma meme, ternyata banyak yang bahas serius juga"
1,"Swert Bonanja gacir parah, wajib coba sih"
0,Wkwkwkwk arap keceplos ngomong kapan akhir dari season 3
1,"Dengan 🍭 *KYT4D* 🍭, aku percaya bahwa sukses adalah hak semua orang"
1,"ᗩᗷGᗯIᑎ gachor bgt, menang terus"
0,komen ke 401 ini semua kerennnnnnnnnnnnnnnnnnnn
0,30:05 kesel beneran?? Salah ngomong kah itu si yuka?
1,💥 Saatnya viral bareng ＰＵＬＡＵ777
0,"14.55 masih beratittude ni mas nya... 

Salut..."
0,aku yg sama sekali gak kenal dunia malam.gal.pernah clubing juga nyimak bgt
1,"Up Up Up.....aku juga baru coba bang!! gacir juga sltnya ya di  mandalika77  , pantes rame kali yang comment. hahaha.."
1,"abis liat 𝓟𝓤𝓛𝓐𝓤777 terus di FYP gue, akhirnya gue buka juga"
0,"Skylar dan tim sengaja mengalah,,"
0,Mungkin ada MARAP S2 😅
0,knp gw suka nonton podcast bang radit definisi flow podcastnya itu rapih bener2 keren emg bang radit kl podcast
1,"dapet jakpot 10 juta , lgsng cair"
1,"a𝘎𝑈𝑆𝑇𝑂𝐓𝐎bikin hidup berwarna , rezeki silih berganti !"
0,Itu yg di gelas Arap wisky ya?
1,Ini tuh kayak versi soft dari P U L A U W I N.
0,Circle the best ... di undang host the best... petcaahhh
0,Bikin nginap om. Bawa alt olahraga nya..
0,"1;00;21 1 tahunan.. 
Iy g sih"
1,✨ 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ✨
0,kalo beneran radit coba dateng ke club yang ada se isi club bakal minta fotbar (pasti ga sih ges) wkwkwk
0,Emang harus mulai sebelum puasa 👏🏻 amazing momen
0,HANCURKAN 😂
0,Bravi gak ada ya diseason 3?
0,YB YB Turunin dagu lu sedikit jangan menhina SI tepe inget dunia ber putar ga selama nya lau di atas YB YAB HADEH
1,"Skill-nya akurat banget, epic abis ❤𝐒𝐔𝐑𝐘𝐀𝟖𝟖❤ 👾🎮"
1,"λ l e x i s 1 7 , bikin maxwin gampang"
1,"Omo Kucrut nge-DJ, cuminya joget, ODDIGO tetap fokus."
0,Bikin hadiah zonk and price
0,"Ngomoning pas kucingku gapulang 2 hari, habis ini mau nyari kucing meeting deh"
1,menyala Abangkuhh ⭐ᗯETOᑎ88⭐.
1,modal tambahan 𝐷оrа𝟩𝟳 membantu usaha .
0,Julee anjir 😂
1,🌴 Bikin harimu ceria bareng 🅿️ⓤⓛⓐⓊ777!
1,"𝗕𝘂𝗸𝘁𝗶𝗸𝗮𝗻 𝘀𝗲𝗻𝗱𝗶𝗿𝗶 𝘀𝗲𝗻𝘀𝗮𝘀𝗶 𝗺𝗲𝗻𝗮𝗻𝗴 𝘁𝗶𝗮𝗽 𝗵𝗮𝗿𝗶 𝗯𝗲𝗿𝘀𝗮𝗺𝗮 𝗜𝟴𝟴𝗖𝗔𝗦𝗛

𝘀𝗲𝗸𝗮𝗿𝗮𝗻𝗴. 😄"
1,ＰＵＬ𝘼𝙐𝙒𝙄𝙉 tuh bener-bener fenomena internet sih.
1,"P U L A U 7 7 7 bikin senyum gak berhenti, mantap pol!"
0,Notif kilnya gk usah gede gede bang kaget
1,Ke 3 min!!💙P R O B E T  8 5 5💙
0,banyak judol jirr komennya
1,"🥛𝗛𝗕𝗖𝗠𝗔𝗡𝗧𝗨𝗟🥛emang real MVP, pecahan Dan kemenangan yang luar biasa🔥18"
0,Klaim wilayah gengster lagi bang
1,"𝘋𝐄𝘞𝐀𝐃O𝐑𝘈, pecah terus mekswin"
1,Udh daptar caranya dapetin skater hitam gimana mandalika77
1,Gue rela ninggalin game lain demi fokus di ALEXIS⭐17⭐.
0,Bang aku kalo nonton video Abang suka ketawa 😂😂😂😂😂
1,Main di А𝐺𝑈𝑆𝘛О𝘛О bikin lupa waktu! Hiburan yang pas banget!
1,"09:10, visualnya cakep parah !!💙P R O B E T  8 5 5💙"
0,"Mending aku utama 
Karna reaksinya berbeda bng"
0,Loyyy.... Topi u keren ....❤
1,"Stream interaktif, viewer enjoy terus ❤𝐒𝐔𝐑𝐘𝐀𝟖𝟖❤ 👀🎯"
1,𝓟𝓤𝓛𝓐 𝓤𝓦𝓘𝓝 di awal tuh bikin penasaran sih 😅
0,Ngakak anying kencing kayang
0,Bang Radit ini kayak kita yang penasaran dunia malam tapi tetep bawa minuman teh botol kemana-mana 🤣
1,gak pusing mikirin biaya rumah sakit kalo udah join alexis17 .
0,bergantung semangatnya 🫰🏻💰
1,Nih orang-orang ngomong “udah nyoba ρυℓαυωιɴ belum?” kayak nyuruh nyobain minuman baru 😭
0,Ehemm
0,Ga sabar sih nunggu om ded dimaraphton pasti rame bgt itu
1,peminat terbanyak𝔾𝔸 ℝ𝕌 𝔻𝔸 ℍ𝕆 𝕂𝕀di Indonesia🦅
0,"Ourastore gasi, salah sponsor di Marapthon 3"
0,"Alhamdulillah terhibur banget ane, thx bro Ded . . ."
0,Ayoo om ded pindahkan ke podhub
1,P͟U͟L͟A͟U͟W͟I͟N muncul di komen live stream juga loh 😭
1,Scatter hujan setiap spin ❤𝙍𝘼𝙅𝘼𝟲𝟮❤ 😁
1,"makasih mandalika77 seumur umur baru kali ini lihat perkalian merah. wd 3 juta modal 60k,"
0,"GELO MEKANIK TUA MENGALAHKAN MEKANIK MUDA 

GURU VS MURID 

GG NGAB XINN🎉🎉🎉🎉🎉🎉🎉"
